code,description
34.3,Asportazione o demolizione di lesione o tessuto del mediastino
34.4,Asportazione o demolizione di lesione della parete toracica
34.5,Pleurectomia
34.51,Decorticazione del polmone
34.59,Altra asportazione della pleura
34.6,Scarificazione della pleura
34.7,Riparazione della parete toracica
34.71,Sutura di lacerazione della parete toracica
34.72,Chiusura di toracostomia
34.73,Chiusura di altra fistola del torace
34.74,Riparazione di deformità del torace
34.79,Altra riparazione della parete toracica
34.8,Interventi sul diaframma
34.81,Asportazione di lesione o tessuto del diaframma
34.82,Sutura di lacerazione del diaframma
34.83,Chiusura di fistola del diaframma
34.84,Altra riparazione del diaframma
34.85,Impianto di pace-maker nel diaframma
34.89,Altri interventi sul diaframma
34.9,Altri interventi sul torace
34.91,Toracentesi
34.92,Iniezione nella cavità toracica
34.93,Riparazione della pleura
34.99,Altri interventi sul torace
35,Interventi sulle valvole e sui setti del cuore
35.0,Valvulotomia a cuore chiuso
35.00,"Valvulotomia a cuore chiuso, valvola non specificata"
35.01,"Valvulotomia a cuore chiuso, valvola aortica"
35.02,"Valvulotomia a cuore chiuso, valvola mitrale"
35.03,"Valvulotomia a cuore chiuso, valvola polmonare"
35.04,"Valvulotomia a cuore chiuso, valvola tricuspide"
35.1,Valvuloplastica a cuore aperto senza sostituzione
35.10,"Valvuloplastica a cuore aperto senza sostituzione, valvola non specificata"
35.11,Valvuloplastica a cuore aperto della valvola aortica senza sostituzione
35.12,Valvuloplastica a cuore aperto della valvola mitrale senza sostituzione
35.13,Valvuloplastica a cuore aperto della valvola polmonare senza sostituzione
35.14,Valvuloplastica a cuore aperto della valvola tricuspide senza sostituzione
35.2,Sostituzione di valvola cardiaca
35.20,Sostituzione di valvola cardiaca non specificata
35.21,Sostituzione della valvola aortica con bioprotesi
35.22,Altra sostituzione di valvola aortica con protesi
35.23,Sostituzione della valvola mitrale con bioprotesi
35.24,Altra sostituzione di valvola mitrale con protesi
35.25,Sostituzione di valvola polmonare con bioprotesi
35.26,Altra sostituzione di valvola polmonare con protesi
35.27,Sostituzione di valvola tricuspide con bioprotesi
35.28,Altra sostituzione di valvola tricuspide con protesi
35.3,Interventi su strutture adiacenti le valvole cardiache
35.31,Interventi sul muscolo papillare
35.32,Interventi sulle corde tendinee
35.33,Annuloplastica
35.34,Infundibulectomia
35.35,Interventi sulle trabecole carnose del cuore
35.39,Interventi su altre strutture adiacenti alle valvole del cuore
35.4,Produzione di difetto settale nel cuore
35.41,Allargamento di difetto esistente del setto atriale
35.42,Creazione di difetto settale nel cuore
35.5,Riparazione con protesi dei setti interatriale e interventricolare
35.50,Riparazione di difetto settale non specificato del cuore con protesi
35.51,"Riparazione di difetto del setto interatriale con protesi, tecnica aperta"
35.52,Riparazione di difetto del setto interatriale con sutura diretta
35.53,Riparazione con protesi di difetto del setto interventricolare
35.54,Riparazione con protesi di difetto dei cuscinetti endocardici
35.55,"Riparazione di difetto del setto ventricolare con protesi, tecnica chiusa"
35.6,Riparazione dei setti interatriale e interventricolare con innesto tissutale (sintetico o biologico)
35.60,Riparazione di difetto in setto non specificato del cuore con innesto tissutale
35.61,Riparazione di difetto del setto interatriale con innesto tissutale
35.62,Riparazione di difetto del setto interventricolare con innesto tissutale
35.63,Riparazione di difetto dei cuscinetti endocardici con innesto tissutale
35.7,Altra e non specificata riparazione dei setti interatriale e interventricolare
35.70,Altra e non specificata riparazione di difetto intersettale non specificato del cuore
35.71,Altra e non specificata riparazione di difetto del setto interatriale
35.72,Altra e non specificata riparazione di difetto del setto interventricolare
35.73,Altra e non specificata riparazione di difetto dei cuscinetti endocardici
35.8,Correzione totale di alcune anomalie cardiache congenite
35.81,Correzione totale di tetralogia di Fallot
35.82,Correzione totale di completa anomalia della connessione venosa polmonare
35.83,Correzione totale del tronco arterioso
35.84,Correzione totale di trasposizione di grande vaso non classificato altrove
35.9,Altri interventi su valvole e setti del cuore
35.91,Trasposizione interatriale del ritorno venoso
35.92,Creazione di condotto fra ventricolo destro e arteria polmonare
35.93,Creazione di condotto fra il ventricolo sinistro e l’aorta
35.94,Creazione di condotto fra atrio e arteria polmonare
35.95,Revisione di procedure correttive del cuore
35.96,Valvuloplastica percutanea
35.98,Altri interventi sui setti del cuore
35.99,Altri interventi sulle valvole del cuore
36,Interventi sui vasi del cuore
36.0,Rimozione di ostruzione dell’arteria coronarica ed inserzione di stent
36.03,Angioplastica dell’arteria coronarica a torace aperto
36.04,Infusione trombolitica nell’arteria coronarica
36.06,Inserzione di stent non medicato nell’arteria coronarica
36.07,Inserzione di stent medicato in arteria coronaria
36.09,Altra rimozione di ostruzione dell’arteria coronarica
36.1,Bypass per rivascolarizzazione cardiaca
36.10,"Bypass aortocoronarico per rivascolarizzazione cardiaca, SAI"
36.11,Bypass (aorto)coronarico di una arteria coronarica
36.12,Bypass (aorto)coronarico di due arterie coronariche
36.13,Bypass (aorto)coronarico di tre arterie coronariche
36.14,Bypass (aorto)coronarico di quattro o più arterie coronariche
36.15,Bypass singolo mammaria internaarteria coronarica
36.16,Bypass doppio mammaria internaarteria coronarica
36.17,Bypass dell’arteria coronaria addominale
36.19,Altro bypass per rivascolarizzazione cardiaca
36.2,Rivascolarizzazione cardiaca mediante innesto arterioso
36.3,Altra rivascolarizzazione cardiaca
36.31,Rivascolarizzazione transmiocardica a torace aperto
36.32,Altra rivascolarizzazione transmiocardica
36.33,Rivascolarizzazione transmiocardica endoscopica
36.34,Rivascolarizzazione transmiocardica per cutanea
36.39,Altra rivascolarizzazione cardiaca
36.9,Altri interventi sui vasi del cuore
36.91,Riparazione di aneurisma dei vasi coronarici
36.99,Altri interventi sui vasi del cuore
37,Altri interventi sul cuore e sul pericardio
37.0,Pericardiocentesi
37.1,Cardiotomia e pericardiotomia
37.10,Incisione cardiaca SAI
37.11,Cardiotomia
37.12,Pericardiotomia
37.2,Procedure diagnostiche sul cuore e sul pericardio
37.20,Stimolazione elettrica non invasiva programmata [NIPS]
37.21,Cateterismo cardiaco del cuore destro
37.22,Cateterismo cardiaco del cuore sinistro
37.23,Cateterismo cardiaco combinato del cuore destro e sinistro
37.24,Biopsia del pericardio
37.25,Biopsia del cuore
37.26,Test invasivo elettrofisiologico con cateterismo
37.27,Mappatura del cuore
37.28,Ecocardiografia intracardiaca [ICE]
37.29,Altre procedure diagnostiche su cuore e pericardio
37.3,Pericardiectomia ed escissione di lesione del cuore
37.31,Pericardiectomia
37.32,Asportazione di aneurisma del cuore
37.33,"Asportazione o distruzione di altra lesione o tessuto del cuore, approccio aperto"
37.34,"Asportazione o distruzione di altri tessuti o lesioni del cuore, altro approccio"
37.35,Asportazione parziale di ventricolo
37.4,Riparazione del cuore e pericardio
37.41,Impianto di dispositivo protesico di supporto cardiaco attorno al cuore
37.49,Altra riparazione di cuore e pericardio
37.5,Procedure di sostituzione cardiaca
37.51,Trapianto di cuore
37.52,Impianto di sistema di sostituzione cardiaca totale
37.53,Riparazione o sostituzione di un’unità toracica di sistema di sostituzione cardiaca totale
37.54,Riparazione o sostituzione di altro componente impiantabile di sistema di sostituzione cardiaca totale
37.6,Impianto di sistemi di assistenza cardiaca e di circolazione assistita
37.61,Impianto di contropulsatore aortico
37.62,Inserzione di sistemi di assistenza cardiaca non impiantabili
37.63,Riparazione di sistema di assistenza cardiaca
37.64,Rimozione di sistemi di circolazione assistita
37.65,Impianto di sistema di assistenza cardiaca esterno
37.66,Inserzione di sistema di assistenza cardiaca impiantabile
37.67,Impianto di sistema di cardiostimolazione
37.68,Inserzione di dispositivo di assistenza cardiaca esterno percutaneo
37.7,"Inserzione, revisione, sostituzione, rimozione di elettrodi; inserzione di sistema di pacemaker temporaneo; o revisione di tasca per dispositivo cardiaco"
37.70,Inserzione iniziale di elettrodo non altrimenti specificato
37.71,Inserzione iniziale di elettrodo transvenoso nel ventricolo
37.72,Inserzione iniziale di elettrodi transvenosi nell’atrio e nel ventricolo
37.73,Inserzione iniziale di elettrodo transvenoso nell’atrio
37.74,Inserzione o riposizionamento di elettrodo epicardico nell’epicardio
37.75,Revisione di elettrodo
37.76,Riposizionamento di elettrodo transvenoso atriale e/o ventricolare
37.77,Rimozione di elettrodo senza riposizionamento
37.78,Inserzione di pace-maker transvenoso temporaneo
37.79,Revisione o riposizionamento di tasca di dispositivo cardiaco
37.8,"Inserzione, sostituzione, revisione e rimozione di pace-maker cardiaco"
37.80,"Inserzione di pace-maker permanente, iniziale o sostituzione, tipo di strumento non specificato"
37.81,"Inserzione iniziale di apparecchio a camera singola, non specificato come frequenza di risposta"
37.82,"Inserzione iniziale di apparecchio a camera singola, frequenza di risposta"
37.83,"Inserzione iniziale di apparecchio a camera doppia, apparecchio sequenziale atrio-ventricolo"
37.85,Sostituzione di un eventuale pace-maker con apparecchio a camera singola non specificato come frequenza di risposta
37.86,"Sostituzione di eventuale pacemaker con apparecchio a camera singola, frequenza di risposta"
37.87,Sostituzione di eventuale apparecchio di pace-maker con camera doppia
37.89,Revisione o rimozione di pace-maker
37.9,Altri interventi sul cuore e sul pericardio
37.90,Inserzione di dispositivo nell’appendice atriale sinistra
37.91,Massaggio cardiaco a torace aperto
37.92,Iniezione intracardiaca di sostanze terapeutiche
37.93,Iniezione di sostanze terapeutiche nel pericardio
37.94,"Impianto o sostituzione di defibrillatore automatico, sistema totale [AICD]"
37.95,Impianto di soli elettrodi di defribillatore automatico
37.96,Impianto di solo generatore di impulsi di defibrillatore automatico
37.97,Sostituzione del solo elettrodo del defibrillatore automatico
37.98,Sostituzione di solo generatore di impulsi di cardiovertore/defibrillatore automatico
37.99,Altri interventi sul cuore e sul pericardio
38,"Incisione, asportazione ed occlusione di vasi"
38.0,Incisione di vasi
38.00,"Incisione di vasi, sede non specificata"
38.01,Incisione di vasi intracranici
38.02,Incisione di altri vasi del capo e del collo
38.03,Incisione di altri vasi dell’arto superiore
38.04,Incisione dell’aorta
38.05,Incisione di altri vasi toracici
38.06,Incisione di arterie addominali
38.07,Incisione di vene addominali
38.08,Incisione di arterie dell’arto inferiore
38.09,Incisione di vene dell’arto inferiore
38.1,Endoarteriectomia
38.10,"Endoarteriectomia, sede non specificata"
38.11,Endoarteriectomia dei vasi intracranici
38.12,Endoarteriectomia di altri vasi del capo e del collo
38.13,Endoarteriectomia di vasi dell’arto superiore
38.14,Endoarteriectomia dell’aorta
38.15,Endoarteriectomia di altri vasi toracici
38.16,Endoarteriectomia delle arterie addominali
38.18,Endoarteriectomia delle arterie dell’arto inferiore
38.2,Procedure diagnostiche sui vasi sanguigni
38.21,Biopsia dei vasi sanguigni
38.22,Angioscopia percutanea
38.29,Altre procedure diagnostiche sui vasi sanguigni
38.3,Resezione di vasi con anastomosi
38.30,"Resezione di vasi con anastomosi, sede non specificata"
38.31,Resezione di vasi intracranici con anastomosi
38.32,Resezione di altri vasi del capo e collo con anastomosi
38.33,Resezione di vasi dell’arto superiore con anastomosi
38.34,Resezione dell’aorta con anastomosi
38.35,Resezione di altri vasi toracici con anastomosi
38.36,Resezione di arterie addominali con anastomosi
38.37,Resezione di vene addominali con anastomosi
38.38,Resezione di arterie dell’arto inferiore con anastomosi
38.39,Resezione di vene dell’arto inferiore con anastomosi
38.4,Resezione di vasi con sostituzione
38.40,"Resezione di vasi con sostituzione, sede non specificata"
38.41,Resezione di vasi intracranici con sostituzione
38.42,Resezione di altri vasi del capo e collo con sostituzione
38.43,Resezione di vasi dell’arto superiore con sostituzione
38.44,"Resezione dell’aorta, addominale con sostituzione"
38.45,Resezione di altri vasi toracici con sostituzione
38.46,Resezione di arterie addominali con sostituzione
38.47,Resezione di vene addominali con sostituzione
38.48,Resezione di arterie dell’arto inferiore con sostituzione
38.49,Resezione di vene dell’arto inferiore con sostituzione
38.5,Legatura e stripping di vene varicose
38.50,"Legatura e stripping di vene varicose, sede non specificata"
38.51,Legatura di vene varicose intracraniche
38.52,Legatura di altre vene varicose del capo e del collo
38.53,Legatura e stripping di vene varicose dell’arto superiore
38.55,Legatura di vene varicose toraciche
38.57,Legatura di vene varicose addominali
38.59,Legatura e stripping di vene varicose dell’arto inferiore
38.6,Altra asportazione di vasi
38.60,"Altra asportazione di vasi, sede non specificata"
38.61,Altra asportazione di vasi intracranici
38.62,Altra asportazione di altri vasi del capo e del collo
38.63,Altra asportazione di vasi dell’arto superiore
38.64,"Altra asportazione dell’aorta, addominale"
38.65,Altra asportazione di altri vasi toracici
38.66,Altra asportazione di arterie addominali
38.67,Altra asportazione di vene addominali
38.68,Altra asportazione di arterie dell’arto inferiore
38.69,Altra asportazione di vene dell’arto inferiore
38.7,Interruzione della vena cava
38.8,Altra occlusione chirurgica di vasi
38.80,"Altra occlusione chirurgica di vasi, sede non specificata"
38.81,Altra occlusione chirurgica di vasi intracranici
38.82,Altra occlusione chirurgica di altri vasi del capo e del collo
38.83,Altra occlusione chirurgica di vasi dell’arto superiore
38.84,"Altra occlusione chirurgica dell’aorta, addominale"
38.85,Altra occlusione chirurgica di altri vasi toracici
38.86,Altra occlusione chirurgica di arterie addominali
38.87,"Altra occlusione chirurgica di vene addominali iliaca, portale, renale, splenica, vena cava inferiore"
38.88,Altra occlusione chirurgica di arterie arto inferiore
38.89,Altra occlusione chirurgica di vene arto inferiore
38.9,Puntura di vasi
38.91,Cateterismo arterioso
38.92,Cateterismo della vena ombelicale
38.93,Altro cateterismo venoso non classificato altrove
38.94,Preparazione di vena per incannulamento
38.95,Cateterismo venoso per dialisi renale
38.98,Altra puntura di arteria
38.99,Altra puntura di vena
39,Altri interventi sui vasi
39.0,Anastomosi arterioso sistemico polmonare
39.1,Anastomosi venosa intraaddominale
39.2,Altre anastomosi o bypass vascolari
39.21,Anastomosi vena cava e arteria polmonare
39.22,Bypass aorto-succlavio-carotideo
39.23,Altra anastomosi o bypass vascolare intratoracico
39.24,Bypass aorto-renale
39.25,Bypass aorto-iliaco-femorale
39.26,Altri anastomosi o bypass vascolari intraaddominali
39.27,Arteriovenostomia per dialisi renale
39.28,Bypass vascolare extracranico-intracranico (EC-IC)
39.29,Altri anastomosi o bypass vascolari (periferici)
39.3,Sutura di vasi
39.30,Sutura di vasi sanguigni non specificati
39.31,Sutura di arteria
39.32,Sutura di vena
39.4,Revisione di interventi vascolari
39.41,Controllo di emorragia a seguito di chirurgia vascolare
39.42,Revisione di anastomosi arterovenoso per dialisi renale
39.43,Rimozione di anastomosi arterovenoso per dialisi renale
39.49,Altra revisione di interventi vascolari
39.5,Altra riparazione di vasi
39.50,Angioplastica o aterectomia di altro/i vaso/i non coronarico/i
39.51,Clipping di aneurismi
39.52,Altra riparazione di aneurisma
39.53,Riparazione di fistola arteriovenosa
39.54,Intervento di dissezione dell’aorta
39.55,Reimpianto di vaso renale aberrante
39.56,Riparazione di vaso sanguigno con patch autologo
39.57,Riparazione di vaso sanguigno con patch sintetico
39.58,Riparazione di vaso sanguigno con patch di tipo non specificato
39.59,Altra riparazione di vasi
39.6,Circolazione extracorporea e procedure ausiliarie per la chirurgia cardiaca
39.61,Circolazione extracorporea ausiliaria per chirurgia a cuore aperto
39.62,Ipotermia (sistemica) incidentale per chirurgia a cuore aperto
39.63,Cardioplegia
39.64,Impianto di pace-maker intraoperatorio
39.65,Ossigenazione extracorporea delle membrane [ECMO]
39.66,Bypass cardiopolmonare percutaneo
39.7,Riparazione endovascolare di vaso
39.71,Impianto endovascolare di graft nell’aorta addominale
39.72,Riparazione endovascolare o occlusione dei vasi di testa e collo
39.73,Impianto di graft endovascolare nell’aorta toracica
39.74,Rimozione endovascolare di ostruzione da vaso/i di testa e collo
39.79,Altra riparazione endovascolare (di aneurisma) di altri vasi
39.8,Interventi sul glomo carotideo e su altri glomi vascolari
39.9,Altri interventi sui vasi
39.90,Inserzione di stent non medicato in vaso periferico
39.91,Sbrigliamento dei vasi
39.92,Iniezione intravenosa di sostanze sclerosanti
39.93,Inserzione di cannula intervasale
39.94,Sostituzione di cannula intervasale
39.95,Emodialisi
39.96,Perfusione totale del corpo
39.97,Altra perfusione
39.98,"Controllo di emorragia, SAI"
39.99,Altri interventi sui vasi
40,Interventi sul sistema linfatico
40.0,Incisione di strutture linfatiche
40.1,Procedure diagnostiche su strutture linfatiche
40.11,Biopsia di strutture linfatiche
40.19,Altre procedure diagnostiche sulle strutture linfatiche
40.2,Asportazione semplice di strutture linfatiche
40.21,Asportazione di linfonodi cervicali profondi
40.22,Asportazione di linfonodi mammari interni
40.23,Asportazione di linfonodi ascellari
40.24,Asportazione di linfonodi inguinali
40.29,Asportazione semplice di altre strutture linfatiche
40.3,Asportazione di linfonodi regionali
40.4,Asportazione radicale di linfonodi cervicali
40.40,"Dissezione radicale del collo, SAI"
40.41,"Dissezione radicale del collo, monolaterale"
40.42,"Dissezione radicale del collo, bilaterale"
40.5,Asportazione radicale di altri linfonodi
40.50,"Asportazione radicale di linfonodi, SAI"
40.51,Asportazione radicale dei linfonodi ascellari
40.52,Asportazione radicale dei linfonodi periaortici
40.53,Asportazione radicale dei linfonodi iliaci
40.54,Dissezione radicale della regione inguinale
40.59,Asportazione radicale di altri linfonodi
40.6,Interventi sul dotto toracico
40.61,Incannulamento del dotto toracico
40.62,Fistolizzazione del dotto toracico
40.63,Chiusura di fistola del dotto toracico
40.64,Legatura del dotto toracico
40.69,Altri interventi sul dotto toracico
40.9,Altri interventi sulle strutture linfatiche
41,Interventi sul midollo osseo e sulla milza
41.0,Trapianto del midollo osseo o di cellule staminali ematopoietiche
41.00,Trapianto di midollo osseo SAI
41.01,Trapianto di midollo osseo autologo senza depurazione
41.02,Trapianto di midollo osseo allogenico con depurazione
41.03,Trapianto di midollo osseo allogenico senza depurazione
41.04,Trapianto autologo di cellule staminali ematopoietiche senza depurazione
41.05,Trapianto allogenico di cellule staminali ematopoietiche senza depurazione
41.06,Trapianto di cellule staminali da sangue prelevato da vasi del cordone ombelicale
41.07,Trapianto autologo di cellule staminali con depurazione
41.08,Trapianto allogenico di cellule staminali ematopoietiche con depurazione
41.09,Trapianto autologo di midollo osseo con depurazione
41.1,Puntura della milza
41.2,Splenotomia
41.3,Procedure diagnostiche sul midollo osseo e sulla milza
41.31,Biopsia del midollo osseo
41.32,Biopsia [per aspirazione] [percutanea] della milza
41.33,Biopsia a cielo aperto della milza
41.38,Altre procedure diagnostiche sul midollo osseo
41.39,Altre procedure diagnostiche sulla milza
41.4,Asportazione o demolizione di lesione o tessuto della milza
41.41,Marsupializzazione di cisti splenica
41.42,Asportazione di lesione o tessuto della milza
41.43,Splenectomia parziale
41.5,Splenectomia totale
41.9,Altri interventi sulla milza e sul midollo osseo
41.91,Aspirazione di midollo osseo da donatore per trapianto
41.92,Iniezione nel midollo osseo
41.93,Asportazione di milza accessoria
41.94,Trapianto di milza
41.95,Interventi di riparazione e di plastica sulla milza
41.98,Altri interventi sul midollo osseo
41.99,Altri interventi sulla milza
42,Interventi sull’esofago
42.0,Esofagotomia
42.01,Incisione di stenosi membranosa congenlta dell’esofago
42.09,Altra incisione dell’esofago
42.1,Esofagostomia
42.10,"Esofagostomia, SAI"
42.11,Esofagostomia cervicale
42.12,Esteriorizzazione di tasca esofagea
42.19,Altra fistolizzazione esterna dell’esofago
42.2,Procedure diagnostiche sull’esofago
42.21,Esofagoscopia operatoria mediante incisione
42.22,Esofagoscopia attraverso stoma artificiale
42.23,Altra esofagoscopia
42.24,Biopsia [endoscopica] dell’esofago
42.25,Biopsia a cielo aperto dell’esofago
42.29,Altre procedure diagnostiche sull’esofago
42.3,Asportazione o demolizione locale di lesione o tessuto dell’esofago
42.31,Asportazione locale di diverticolo esofageo
42.32,Asportazione locale di altra lesione o tessuto dell’esofago
42.33,Asportazione o demolizione endoscopica di lesione o tessuto esofageo
42.39,Altra demolizione di lesione o tessuto dell’esofago
42.4,Asportazione dell’esofago
42.40,"Esofagectomia, SAI"
42.41,Esofagectomia parziale
42.42,Esofagectomia totale
42.5,Anastomosi intratoracica dell’esofago
42.51,Esofago-esofagostomia intratoracica
42.52,Esofago-gastrostomia intratoracica
42.53,Anastomosi esofagea intratoracica con interposizione di intestino tenue
42.54,Altra esofago-enteranastomosi intratoracica
42.55,Anastomosi esofagea intratoracica con interposizione di colon
42.56,Altra esofagocolostomia intratoracica
42.58,Anastomosi esofagea intratoracica con altra interposizione
42.59,Altra anastomosi esofagea intratoracica
42.6,Anastomosi presternale dell’esofago
42.61,Esofago-esofagostomia presternale
42.62,Esofago-gastrostomia presternale
42.63,Anastomosi esofagea presternale con interposizione di intestino tenue
42.64,Altra esofagoenterostomia presternale
42.65,Anastomosi esofagea presternale con interposizione di colon
42.66,Altra esofagocolostomia presternale
42.68,Altra anastomosi esofagea presternale con interposizione
42.69,Altra anastomosi presternale dell’esofago
42.7,Esofagomiotomia
42.8,Altra riparazione dell’esofago
42.81,Intubazione permanente dell’esofago
42.82,Sutura di lacerazione dell’esofago
42.83,Chiusura di esofagostomia
42.84,"Riparazione di fistola esofagea, non classificata altrove"
42.85,Riparazione di stenosi esofagea
42.86,Produzione di tunnel sottocutaneo senza anastomosi esofagea
42.87,Altro innesto dell’esofago
42.89,Altra riparazione dell’esofago
42.9,Altri interventi sull’esofago
42.91,Legatura di varici esofagee
42.92,Dilatazione dell’esofago
42.99,Altri interventi sull’esofago
43,Incisione ed asportazione dello stomaco
43.0,Gastrotomia
43.1,Gastrostomia
43.11,Gastrostomia percutanea [endoscopica] [PEG]
43.19,Altra gastrostomia
43.3,Piloromiotomia
43.4,Asportazione o demolizione locale di lesione o tessuto dello stomaco
43.41,Asportazione o demolizione di lesione o tessuto dello stomaco per via endoscopica
43.42,Asportazione locale di altra lesione o tessuto dello stomaco
43.49,Altra asportazione di lesione o tessuto dello stomaco
43.5,Gastrectomia parziale con anastomosi esofagea
43.6,Gastrectomia parziale con anastomosi duodenale
43.7,Gastrectomia parziale con anastomosi digiunale
43.8,Altra gastrectomia parziale
43.81,Gastrectomia parziale con trasposizione digiunale
43.89,Altra gastrectomia parziale
43.9,Gastrectomia totale
43.91,Gastrectomia totale con interposizione intestinale
43.99,Altra gastrectomia totale
44,Altri interventi sullo stomaco
44.0,Vagotomia
44.00,"Vagotomia, SAI"
44.01,Vagotomia tronculare
44.02,Vagotomia super selettiva
44.03,Altra vagotomia selettiva
44.1,Procedure diagnostiche sullo stomaco
44.11,Gastroscopia transaddominale
44.12,Gastroscopia attraverso stoma artificiale
44.13,Altra gastroscopia
44.14,Biopsia [endoscopica] dello stomaco
44.15,Altra biopsia dello stomaco
44.19,Altra procedura diagnostica sullo stomaco
44.2,Piloroplastica
44.21,Dilatazione mediante incisione del piloro
44.22,Dilatazione endoscopica del piloro
44.29,Altra piloroplastica
44.3,Gastroenterostomia senza gastrectomia
44.31,Bypass gastrico alto
44.32,Gastrodigiunostomia percutanea [endo-scopica]
44.38,Gastroenterostomia laparoscopica
44.39,Altra gastroenterostomia senza gastrectomia
44.4,Controllo di emorragia e sutura di ulcera gastrica o duodenale
44.40,"Sutura di ulcera peptica, SAI"
44.41,Sutura di ulcera gastrica
44.42,Sutura di ulcera duodenale
44.43,Controllo endoscopico di sanguinamento gastrico o duodenale
44.44,Embolizzazione mediante catetere per sanguinamento gastrico o duodenale
44.49,Altro controllo di emorragia dello stomaco o del duodeno
44.5,Revisione di anastomosi gastrica
44.6,Altra riparazione dello stomaco
44.61,Sutura di lacerazione dello stomaco
44.62,Chiusura di gastrostomia
44.63,Chiusura di altra fistola gastrica
44.64,Gastropessi
44.65,Esofagogastroplastica
44.66,Altri interventi per la creazione di sfintere esofagogastrico
44.67,Procedure laparoscopiche per la creazione dello sfintere esofagogastrico
44.68,Gastroplastica laparoscopica
44.69,Altra riparazione dello stomaco
44.9,Altri interventi sullo stomaco
44.91,Legatura di varici gastriche
44.92,Manipolazione intraoperatoria dello stomaco
44.93,Inserzione di bolla gastrica (palloncino)
44.94,Rimozione di bolla gastrica (palloncino)
44.95,Procedura laparoscopica di restrizione gastrica
44.96,Revisione laparoscopica della procedura gastrica restrittiva
44.97,Rimozione laparoscopica di dispositivo/ i di restrizione gastrica
44.98,Regolazione di misura (laparoscopica) del dispositivo di restrizione gastrica regolabile
44.99,Altri interventi sullo stomaco
45,"Incisione, asportazione e anastomosi dell’intestino"
45.0,Enterotomia
45.00,"Incisione dell’intestino, SAI"
45.01,Incisione del duodeno
45.02,Altra incisione dell’intestino tenue
45.03,Incisione dell’intestino crasso
45.1,Procedure diagnostiche sull’intestino tenue
45.11,Endoscopia transaddominale dell’intestino tenue
45.12,Endoscopia dell’intestino tenue attraverso stoma artificiale
45.13,Altra endoscopia dell’intestino tenue
45.14,Biopsia [endoscopica] dell’intestino tenue
45.15,Biopsia a cielo aperto dell’intestino tenue
45.16,Esofagogastroduodenoscopia [EGD] con biopsia
45.19,Altre procedure diagnostiche sull’intestino tenue
45.2,Procedure diagnostiche sull’intestino crasso
45.21,Endoscopia transaddominale dell’intestino crasso
45.22,Endoscopia dell’intestino crasso attraverso stoma artificiale
45.23,Colonscopia con endoscopio flessibile
45.24,Sigmoidoscopia con endoscopio flessibile
45.25,Biopsia [endoscopica] dell’intestino crasso
45.26,Biopsia laparatomica dell’intestino crasso
45.27,"Biopsia intestinale, sede non specificata"
45.28,Altre procedure diagnostiche sull’intestino crasso
45.29,"Altra procedura diagnostica sull’intestino, sede non specificata"
45.3,Asportazione o demolizione locale di lesione o tessuto dell’intestino tenue
45.30,Asportazione o demolizione endoscopica di lesione del duodeno
45.31,Altra asportazione locale di lesione del duodeno
45.32,Altra asportazione di lesione del duodeno
45.33,Asportazione locale di lesione o tessuto dell’intestino tenue eccetto il duodeno
45.34,Altra demolizione di lesione dell’intestino tenue eccetto il duodeno
45.4,Asportazione o demolizione locale di lesione o tessuto dell’intestino crasso
45.41,Asportazione locale di lesione o tessuto dell’intestino crasso
45.42,Polipectomia endoscopica dell’intestino crasso
45.43,Demolizione endoscopica di altra lesione o tessuto dell’intestino crasso
45.49,Altra asportazione di lesione dell’intestino crasso
45.5,Isolamento di segmento intestinale
45.50,"Isolamento di segmento intestinale, SAI"
45.51,Isolamento di segmento dell’intestino tenue
45.52,Isolamento di segmento dell’intestino crasso
45.6,Altra asportazione dell’intestino tenue
45.61,Resezione segmentaria multipla dell’intestino tenue
45.62,Altra resezione parziale dell’intestino tenue
45.63,Rimozione totale dell’intestino tenue
45.7,Asportazione parziale dell’intestino crasso
45.71,Resezione segmentaria multipla dell’intestino crasso
45.72,Resezione del cieco
45.73,Emicolectomia destra
45.74,Resezione del colon trasverso
45.75,Emicolectomia sinistra
45.76,Sigmoidectomia
45.79,Altra asportazione parziale dell’intestino crasso
45.8,Colectomia totale intraaddominale
45.9,Anastomosi intestinale
45.90,"Anastomosi intestinale, SAI"
45.91,Anastomosi intestinale tenue-tenue
45.92,Anastomosi dell’intestino tenue al moncone rettale
45.93,Altra anastomosi intestinale tenuecrasso
45.94,Anastomosi intestinale crasso-crasso
45.95,Anastomosi all’ano
46,Altri interventi sull’intestino
46.0,Esteriorizzazione dell’intestino
46.01,Esteriorizzazione dell’intestino tenue
46.02,Resezione di segmento esteriorizzato dell’intestino tenue
46.03,Esteriorizzazione dell’intestino crasso
46.04,Resezione di segmento esteriorizzato dell’intestino crasso
46.1,Colostomia
46.10,"Colostomia, SAI"
46.11,Colostomia temporanea
46.13,Colostomia permanente
46.14,Colostomia differita
46.2,Ileostomia
46.20,"Ileostomia, SAI"
46.21,Ileostomia temporanea
46.22,Ileostomia continente
46.23,Altra ileostomia permanente
46.24,Ileostomia in due tempi
46.3,Altra enterostomia
46.31,Altra enterostomia in due tempi
46.32,Digiunostomia [endoscopica] percutanea [PEJ]
46.39,Altra enterostomia
46.4,Revisione di orifizio intestinale artificiale
46.40,"Revisione di orifizio intestinale artificiale, SAI"
46.41,Revisione di orifizio artificiale dell’intestino tenue
